text,label,tactic
"Your electricity connection will be cut off tonight due to unpaid bill. Pay Rs. 1,00,000 immediately at http://accountsafe-verify.com to avoid disconnection.",scam,fake_authority
"Congratulations Rahul! You have won Rs. 1,00,000 in the lucky draw. Click http://secure-bank-update.in to claim your prize now.",scam,lottery_prize
Illegal items were found in a parcel booked using your ID. Contact us immediately or face legal action.,scam,courier_scam
"बधाई हो Anil जी! आपने लकी ड्रा में Rs. 15,000 जीता है। अभी http://parcel-track-in.net पर क्लिक करके क्लेम करें।",scam,lottery_prize
Yeh PNB security team hai. Aapke number par aaya OTP hume turant batayein.,scam,otp_request
"आपका OTP 482913 है। इसे किसी के साथ साझा न करें, बैंक कर्मचारी के साथ भी नहीं। यह 10 मिनट के लिए मान्य है।",genuine,otp_genuine_context
482913 is your one time password for the transaction. Never share your OTP with anyone for any reason.,genuine,otp_genuine_context
"Aapka Axis Bank credit card bill Rs. 3,200 ka hai, 15 tarikh tak bhar dein.",genuine,bank_alert_real
"Police department se call hai, aapke Aadhaar ka misuse crime mein hua hai, turant call back karein.",scam,fake_authority
"Dear Rahul, your Axis Bank credit card bill of Rs. 3,200 is due on 15th. Please pay before the due date to avoid late fee.",genuine,bank_alert_real
This is a reminder that your electricity meter reading is scheduled for next Monday.,genuine,appointment_reminder
"Dear winner, your lottery ticket has been selected for Rs. 15,000. Contact us urgently before the offer expires.",scam,lottery_prize
"Your mobile number has won Rs. 15,000 cash prize from a lucky number contest. Visit http://claim-prize-now.co within 24 hours to claim.",scam,lottery_prize
Yeh SBI security team hai. Aapke number par aaya OTP hume turant batayein.,scam,otp_request
This is HDFC Bank security team. We need the OTP you just received to verify a suspicious login.,scam,otp_request
Your gas cylinder booking is confirmed. Delivery expected within 2 days.,genuine,appointment_reminder
"Aapka number lucky draw mein select hua hai, Rs. 49,999 jeetne ke liye thoda processing fee bhejein.",scam,lottery_prize
"Aapka ICICI Bank credit card bill Rs. 3,200 ka hai, 15 tarikh tak bhar dein.",genuine,bank_alert_real
FedEx: Aapka package aaj 2 baje se 6 baje ke beech deliver hoga.,genuine,delivery_notification
Your device has been hacked. Call our technical team immediately and share your screen to remove the malware.,scam,tech_support
"Grandpa it's me, I met with an accident and need money for the hospital right now, please don't tell anyone.",scam,family_emergency
Your account has unusual activity. Please tell us the 6 digit code sent to your phone to secure it now.,scam,otp_request
URGENT: Your ATM card is deactivated. Call us and provide the OTP to reactivate immediately.,scam,otp_request
"Congratulations Suresh! You have won Rs. 49,999 in the lucky draw. Click http://secure-bank-update.in to claim your prize now.",scam,lottery_prize
Illegal items were found in a parcel booked using your ID. Contact us immediately or face legal action.,scam,courier_scam
"Police department se call hai, aapke Aadhaar ka misuse crime mein hua hai, turant call back karein.",scam,fake_authority
Warning: your bank app is compromised. Download this tool and install it to secure your device right away.,scam,tech_support
Your order has been delivered. Thank you for shopping with us. Rate your experience in the app.,genuine,delivery_notification
Your loyalty points are about to expire. Redeem them on your next purchase this month.,genuine,promotion_genuine
Get 20% off on your next grocery order this weekend. Use code SAVE20 at checkout.,genuine,promotion_genuine
Your account has unusual activity. Please tell us the 6 digit code sent to your phone to secure it now.,scam,otp_request
"Congratulations Rahul! You have won Rs. 1,00,000 in the lucky draw. Click http://secure-bank-update.in to claim your prize now.",scam,lottery_prize
This is Microsoft support. We detected a virus on your computer. Please give us remote access to fix it now.,scam,tech_support
"Hi it's your son, I'm stuck at the airport and my card isn't working, can you transfer Rs. 25,000 to this number quickly.",scam,family_emergency
आपका HDFC Bank KYC एक्सपायर हो गया है। http://parcel-track-in.net पर तुरंत अपडेट करें वरना खाता बंद हो जाएगा।,scam,fake_bank_kyc
